I_rms_A,I_max_A,Amp_50Hz,Amp_100Hz,Amp_150Hz,Amp_200Hz,Amp_250Hz,label
0.13784240457856212,0.2056,0.10374864420141743,0.04575639918737426,0.0003035977727911963,0.0009108647531416459,0.0013565051382660816,ventilator
0.13636739407448784,0.1976,0.10243692143365808,0.045038453380343596,0.0006744421566300779,0.0013545655282438545,0.0015726606316496033,ventilator
0.13929504358255776,0.2056,0.10455550647844816,0.0460228969399131,0.0016604776014360076,0.0010958121800688943,0.0006536414624731616,ventilator
0.13774011821784773,0.2056,0.10362536657052929,0.045997621885082184,0.0016006070393007508,0.0012131999358678432,0.00041988458047432234,ventilator
0.1408237160424337,0.2621,0.10603550821351887,0.046453184995517774,0.0014862106614445922,0.0008083232270662113,0.0011620873586696502,ventilator
0.1365742923588965,0.2056,0.1021089020814921,0.04422977747675805,0.0024196080629241535,0.0027706549334609865,0.0011538129688005846,ventilator
0.13545341019455115,0.1976,0.10128672643633783,0.0426018141195701,0.00159534483863825,0.001874218181826859,0.0015023494377031446,ventilator
0.13628389425509285,0.1976,0.10143915419429415,0.04249665632788507,0.0013750971320192636,0.0010239525758890188,0.0005410173825895966,ventilator
0.13565390460039597,0.1976,0.1020159969790864,0.04311767840190867,0.0011641119252554476,0.00036543483016892355,0.0010855319762440967,ventilator
0.13570655535627846,0.2137,0.10231325535012602,0.04396986593739156,0.0011978643565223124,0.001508874713763232,0.0024128641865966364,ventilator
0.13542915614199674,0.2056,0.101495215746343,0.04311766879341677,0.004090905794680608,0.002043113376014947,0.0022029620413676356,ventilator
0.13760548378123114,0.246,0.10256391004533913,0.043825806959745854,0.005680746917345732,0.004588368114182655,0.003872485788106889,ventilator
0.1408237160424337,0.2621,0.10603550821351887,0.046453184995517774,0.0014862106614445922,0.0008083232270662113,0.0011620873586696502,ventilator
0.13636739407448784,0.1976,0.10243692143365808,0.045038453380343596,0.0006744421566300779,0.0013545655282438545,0.0015726606316496033,ventilator
0.13628389425509285,0.1976,0.10143915419429415,0.04249665632788507,0.0013750971320192636,0.0010239525758890188,0.0005410173825895966,ventilator
0.1365742923588965,0.2056,0.1021089020814921,0.04422977747675805,0.0024196080629241535,0.0027706549334609865,0.0011538129688005846,ventilator
