I_rms_A,I_max_A,Amp_50Hz,Amp_100Hz,Amp_150Hz,Amp_200Hz,Amp_250Hz,label
0.10651329885668426,0.2379,0.0736159383929505,0.03341273034111707,0.034632720969611494,0.014346874432208856,0.008635363819991273,loetstation
0.10601616464797559,0.2218,0.07306117511980097,0.031763900483514566,0.03303637263882756,0.012542655618464679,0.008945839135753985,loetstation
0.1051055683586745,0.2218,0.07267515424038942,0.03126391970855685,0.03209560066108244,0.012638679860223795,0.008729787633594072,loetstation
0.10534915440255482,0.2137,0.07215558452802857,0.030319505046622616,0.03267437771086244,0.012709670252630147,0.008877812662777353,loetstation
0.10431576183236485,0.2298,0.07365303739701408,0.04693347625908842,0.03570543473823827,0.01886334750262321,0.010380817706083841,loetstation
0.10424474407214335,0.2218,0.0734095047243954,0.04622687105661399,0.03562540404275038,0.01866671902534958,0.008792575321738322,loetstation
0.10353172460651855,0.2137,0.07251818579558017,0.044736086099984744,0.034559195826131206,0.017389579343240796,0.00820973402682811,loetstation
0.10463655033814268,0.2137,0.07311931727386081,0.044587860564117746,0.034107469152855785,0.017468828241800682,0.009437531518987513,loetstation
0.10433698209807168,0.2218,0.07290509096174529,0.043555675471021245,0.03513296341312768,0.0188889656425913,0.010364426730130194,loetstation
0.10340412628775185,0.2137,0.07189944767886684,0.04242873124325643,0.03360578800500753,0.016573882195026087,0.008845149871890858,loetstation
0.10376963348366099,0.2137,0.07176094621151823,0.04178645742933698,0.0343023759986689,0.01689621993133289,0.008985507554286086,loetstation
0.10449078747270818,0.2137,0.07206219580222685,0.04067271226080998,0.03339700751761857,0.017462202254397416,0.009893384851861808,loetstation
0.10465154083911044,0.2137,0.07270292227611416,0.04617488409742311,0.033251602159447176,0.01744354857185105,0.008987567774025563,loetstation
0.10112505294601006,0.2379,0.06721280782679682,0.01607640912610556,0.028757973573392943,0.008563792305463707,0.009624618679295533,loetstation
0.10405711812909935,0.2379,0.06863544672218823,0.01546388334126877,0.029861956494624118,0.008051492922918835,0.008570243933731285,loetstation
0.10118235929910575,0.2298,0.06802201278676417,0.016149798491317598,0.02911807604804856,0.008755568910883856,0.00897175938736497,loetstation
0.09813380236527405,0.2218,0.06601242247830753,0.016236077554551774,0.028588044769379047,0.008858524062364466,0.008028937737994013,loetstation

