I_rms_A,I_max_A,Amp_50Hz,Amp_100Hz,Amp_150Hz,Amp_200Hz,Amp_250Hz,label
0.41130201373200204,1.6331,0.15800582659780626,0.09970837784986447,0.14511930429967385,0.07919631290935487,0.13048078038038952,netzteil1
0.46187056574326096,1.7379,0.16912588603407416,0.08907932030130514,0.162777614133032,0.07300507747700698,0.1410812037222267,netzteil1
0.45800523304870655,1.8024,0.17565077576105367,0.09431565337797941,0.1598865950568394,0.07271640520780265,0.14300847722670224,netzteil1
0.4499826759628271,1.7944,0.1735855613598306,0.10136614124394544,0.16007572165408449,0.0813995543253765,0.14452150385004317,netzteil1
0.4670643066002796,1.9556,0.1694700608259337,0.0778008303225666,0.15189083186135097,0.08215918041695147,0.14251467964039255,netzteil1
0.48073862302364123,2.1169,0.1801413280602048,0.09524561862458976,0.1719237211922914,0.09813324791505611,0.1518291662396962,netzteil1
0.4451576818012542,1.8831,0.1580258142601642,0.08084098973453416,0.15172758194400676,0.08585833951740858,0.14132541910464008,netzteil1
0.45802917010455424,1.7218,0.1710434984514994,0.07467788684637593,0.15278011675855369,0.07971698155391131,0.13871001153364396,netzteil1
0.4369033756640783,1.8266,0.15366728692778736,0.09511134921489688,0.12974866589394118,0.08078568322776478,0.1186281376687998,netzteil1
0.49548040274061295,1.9315,0.17905480157435782,0.13230356405563676,0.17350691666935428,0.1198282280882978,0.1480392566769516,netzteil1
0.4956593294121814,1.9879,0.191371063804188,0.15392292513981923,0.18243059014476387,0.13420079306603386,0.16674722713188928,netzteil1
0.44386149510104317,1.8024,0.16851166653340088,0.12177399636095727,0.15052574241854857,0.10334535701111928,0.13616941366818108,netzteil1
0.3883891444157522,1.8669,0.13111209860526285,0.09808866969808139,0.11946475976773828,0.09474051890397266,0.11251949410956308,netzteil1
0.4134168134784393,1.8347,0.16307628716410003,0.1450964531035364,0.15808886107884637,0.13353188148192663,0.14240112208985764,netzteil1
0.3647760712638189,1.5121,0.1264090329913857,0.09752748884709227,0.11986099213055475,0.09566384189582507,0.11007186072159582,netzteil1
0.3843256310300767,1.6492,0.1388949411948533,0.09945455732932261,0.11949828360194933,0.09600686521048757,0.11414386199416476,netzteil1
