1514564	0.7871	-4.3145
1518076	0.0290	-8.1048
1521564	0.4355	-6.0726
1525080	1.5484	-0.5081
1528588	2.1548	2.5242
1532068	1.6065	-0.2177
1535564	0.4839	-5.8306
1539068	0.0194	-8.1532
1542580	0.7323	-4.5887
1546088	1.8290	0.8952
1549560	2.1097	2.2984
1553024	1.3032	-1.7339
1556556	0.2419	-7.0403
1560052	0.1097	-7.7016
1563544	1.0484	-3.0081
1567032	2.0226	1.8629
1570504	1.9806	1.6532
1574004	0.9742	-3.3790
1577512	0.0871	-7.8145
1581012	0.2903	-6.7984
1584524	1.3742	-1.3790
1588040	2.1419	2.4597
1591520	1.7516	0.5081
1594992	0.6516	-4.9919
1598508	0.0194	-8.1532
1602016	0.5516	-5.4919
1605520	1.6774	0.1371
1609000	2.1548	2.5242
1612468	1.4774	-0.8629
1615992	0.3710	-6.3952
1619496	0.0548	-7.9758
1622996	0.8613	-3.9435
1626516	1.9226	1.3629
1630016	2.0677	2.0887
1633484	1.1452	-2.5242
1636984	0.1581	-7.4597
1640500	0.1935	-7.2823
1644004	1.2000	-2.2500
1647496	2.0839	2.1694
1650972	1.8903	1.2016
1654436	0.8290	-4.1048
1657940	0.0419	-8.0403
