I_rms_A,I_max_A,Amp_50Hz,Amp_100Hz,Amp_150Hz,Amp_200Hz,Amp_250Hz
0.411302013732002,1.6331,0.1580058265978062,0.0997083778498644,0.1451193042996738,0.0791963129093548,0.1304807803803895
0.4618705657432609,1.7379,0.1691258860340741,0.0890793203013051,0.162777614133032,0.0730050774770069,0.1410812037222267
0.4580052330487065,1.8024,0.1756507757610536,0.0943156533779794,0.1598865950568394,0.0727164052078026,0.1430084772267022
0.4499826759628271,1.7944,0.1735855613598306,0.1013661412439454,0.1600757216540844,0.0813995543253765,0.1445215038500431
0.4670643066002796,1.9556,0.1694700608259337,0.0778008303225666,0.1518908318613509,0.0821591804169514,0.1425146796403925
0.4807386230236412,2.1169,0.1801413280602048,0.0952456186245897,0.1719237211922914,0.0981332479150561,0.1518291662396962
0.4451576818012542,1.8831,0.1580258142601642,0.0808409897345341,0.1517275819440067,0.0858583395174085,0.14132541910464
0.4580291701045542,1.7218,0.1710434984514994,0.0746778868463759,0.1527801167585536,0.0797169815539113,0.1387100115336439
0.4369033756640783,1.8266,0.1536672869277873,0.0951113492148968,0.1297486658939411,0.0807856832277647,0.1186281376687998
0.4954804027406129,1.9315,0.1790548015743578,0.1323035640556367,0.1735069166693542,0.1198282280882978,0.1480392566769516
0.4956593294121814,1.9879,0.191371063804188,0.1539229251398192,0.1824305901447638,0.1342007930660338,0.1667472271318892
0.4438614951010431,1.8024,0.1685116665334008,0.1217739963609572,0.1505257424185485,0.1033453570111192,0.136169413668181
0.3883891444157522,1.8669,0.1311120986052628,0.0980886696980813,0.1194647597677382,0.0947405189039726,0.112519494109563
0.4134168134784393,1.8347,0.1630762871641,0.1450964531035364,0.1580888610788463,0.1335318814819266,0.1424011220898576
0.3647760712638189,1.5121,0.1264090329913857,0.0975274888470922,0.1198609921305547,0.095663841895825,0.1100718607215958
0.3843256310300767,1.6492,0.1388949411948533,0.0994545573293226,0.1194982836019493,0.0960068652104875,0.1141438619941647
0.1065132988566842,0.2379,0.0736159383929505,0.033412730341117,0.0346327209696114,0.0143468744322088,0.0086353638199912
0.1060161646479755,0.2218,0.0730611751198009,0.0317639004835145,0.0330363726388275,0.0125426556184646,0.0089458391357539
0.1051055683586745,0.2218,0.0726751542403894,0.0312639197085568,0.0320956006610824,0.0126386798602237,0.008729787633594
0.1053491544025548,0.2137,0.0721555845280285,0.0303195050466226,0.0326743777108624,0.0127096702526301,0.0088778126627773
0.1043157618323648,0.2298,0.073653037397014,0.0469334762590884,0.0357054347382382,0.0188633475026232,0.0103808177060838
0.1042447440721433,0.2218,0.0734095047243954,0.0462268710566139,0.0356254040427503,0.0186667190253495,0.0087925753217383
0.1035317246065185,0.2137,0.0725181857955801,0.0447360860999847,0.0345591958261312,0.0173895793432407,0.0082097340268281
0.1046365503381426,0.2137,0.0731193172738608,0.0445878605641177,0.0341074691528557,0.0174688282418006,0.0094375315189875
0.1043369820980716,0.2218,0.0729050909617452,0.0435556754710212,0.0351329634131276,0.0188889656425913,0.0103644267301301
0.1034041262877518,0.2137,0.0718994476788668,0.0424287312432564,0.0336057880050075,0.016573882195026,0.0088451498718908
0.1037696334836609,0.2137,0.0717609462115182,0.0417864574293369,0.0343023759986689,0.0168962199313328,0.008985507554286
0.1044907874727081,0.2137,0.0720621958022268,0.0406727122608099,0.0333970075176185,0.0174622022543974,0.0098933848518618
0.1046515408391104,0.2137,0.0727029222761141,0.0461748840974231,0.0332516021594471,0.017443548571851,0.0089875677740255
0.10112505294601,0.2379,0.0672128078267968,0.0160764091261055,0.0287579735733929,0.0085637923054637,0.0096246186792955
0.1040571181290993,0.2379,0.0686354467221882,0.0154638833412687,0.0298619564946241,0.0080514929229188,0.0085702439337312
0.1011823592991057,0.2298,0.0680220127867641,0.0161497984913175,0.0291180760480485,0.0087555689108838,0.0089717593873649
0.098133802365274,0.2218,0.0660124224783075,0.0162360775545517,0.028588044769379,0.0088585240623644,0.008028937737994
0.1378424045785621,0.2056,0.1037486442014174,0.0457563991873742,0.0003035977727911,0.0009108647531416,0.001356505138266
0.1363673940744878,0.1976,0.102436921433658,0.0450384533803435,0.00067444215663,0.0013545655282438,0.0015726606316496
0.1392950435825577,0.2056,0.1045555064784481,0.0460228969399131,0.001660477601436,0.0010958121800688,0.0006536414624731
0.1377401182178477,0.2056,0.1036253665705292,0.0459976218850821,0.0016006070393007,0.0012131999358678,0.0004198845804743
0.1408237160424337,0.2621,0.1060355082135188,0.0464531849955177,0.0014862106614445,0.0008083232270662,0.0011620873586696
0.1365742923588965,0.2056,0.1021089020814921,0.044229777476758,0.0024196080629241,0.0027706549334609,0.0011538129688005
0.1354534101945511,0.1976,0.1012867264363378,0.0426018141195701,0.0015953448386382,0.0018742181818268,0.0015023494377031
0.1362838942550928,0.1976,0.1014391541942941,0.042496656327885,0.0013750971320192,0.001023952575889,0.0005410173825895
0.1356539046003959,0.1976,0.1020159969790864,0.0431176784019086,0.0011641119252554,0.0003654348301689,0.001085531976244
0.1357065553562784,0.2137,0.102313255350126,0.0439698659373915,0.0011978643565223,0.0015088747137632,0.0024128641865966
0.1354291561419967,0.2056,0.101495215746343,0.0431176687934167,0.0040909057946806,0.0020431133760149,0.0022029620413676
0.1376054837812311,0.246,0.1025639100453391,0.0438258069597458,0.0056807469173457,0.0045883681141826,0.0038724857881068
0.1408237160424337,0.2621,0.1060355082135188,0.0464531849955177,0.0014862106614445,0.0008083232270662,0.0011620873586696
0.1363673940744878,0.1976,0.102436921433658,0.0450384533803435,0.00067444215663,0.0013545655282438,0.0015726606316496
0.1362838942550928,0.1976,0.1014391541942941,0.042496656327885,0.0013750971320192,0.001023952575889,0.0005410173825895
0.1365742923588965,0.2056,0.1021089020814921,0.044229777476758,0.0024196080629241,0.0027706549334609,0.0011538129688005
