2980692	0.0677	-7.9113
2984208	1.3161	-1.6694
2987712	2.3161	3.3306
2991216	1.9774	1.6371
2994696	0.6645	-4.9274
2998200	-0.1903	-9.2016
3001768	0.3839	-6.3306
3005268	1.7194	0.3468
3008752	2.3677	3.5887
3012224	1.6419	-0.0403
3015740	0.2968	-6.7661
3019248	-0.1774	-9.1371
3022820	0.7677	-4.4113
3026340	2.0516	2.0081
3029824	2.2806	3.1532
3033304	1.2194	-2.1532
3036808	0.0065	-8.2177
3040316	-0.0226	-8.3629
3043876	1.1871	-2.3145
3047396	2.2742	3.1210
3050880	2.0613	2.0565
3054372	0.7903	-4.2984
3057884	-0.1613	-9.0565
3061452	0.2774	-6.8629
3064968	1.6129	-0.1855
3068464	2.3677	3.5887
3071960	1.7323	0.4113
3075456	0.3903	-6.2984
3078952	-0.1935	-9.2177
3082528	0.6548	-4.9758
3086032	1.9677	1.5887
3089540	2.3129	3.3145
3093012	1.3355	-1.5726
3096536	0.0710	-7.8952
3100048	-0.0806	-8.6532
3103600	1.0806	-2.8468
3107096	2.2290	2.8952
3110564	2.1355	2.4274
3114072	0.9129	-3.6855
3117588	-0.1258	-8.8790
3121144	0.1742	-7.3790
